,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
122,Pablo Carreno Busta,Jeremy Chardy,-0.05847953216374269,-0.056530214424951264,0.16374269005847952,0.2076023391812865,-0.025341130604288498,1.0,player1,0,1,1,0,0,1,0
123,Lloyd Harris,Laslo Djere,0.13446969696969696,-0.0009469696969696961,0.05918560606060608,0.10842803030303028,-0.022727272727272735,0.25,player1,0,1,1,0,0,1,0
124,Alexander Bublik,Daniel Evans,0.05454545454545454,0.01636363636363636,-0.13636363636363635,-0.1618181818181818,-0.07090909090909091,-0.23809523809523808,player2,0,1,1,0,0,1,0
125,Andrey Rublev,Sam Querrey,0.020833333333333343,-0.020833333333333336,-0.08333333333333326,0.14583333333333337,0.04166666666666666,0.3333333333333333,player1,0,1,1,0,0,1,0
126,Jan Lennard Struff,Alex Bolt,0.05886243386243385,-0.05357142857142857,-0.01388888888888884,-0.07407407407407407,-0.046957671957671976,-0.4,player2,0,1,1,0,0,1,0
127,Felix Auger Aliassime,James Duckworth,0.14132251133922177,0.00572929100023872,0.021484841250895226,0.1902602052995942,0.006445452375268557,0.25,player1,0,1,1,0,0,1,0
128,Albert Ramos,Jordan Thompson,-0.06726798522060423,0.02575527059334927,-0.04825038035209739,-0.044338187350575986,0.03347098456857203,0.3571428571428571,player1,0,1,1,0,0,1,0
129,Aljaz Bedene,Tommy Paul,-0.03601953601953603,0.047619047619047616,0.00030525030525030417,-0.05891330891330898,-0.1388888888888889,-0.25,player2,0,1,1,0,0,1,0
130,Reilly Opelka,Pablo Cuevas,0.21501014198782964,0.0145368492224476,-0.05358350236646381,-0.018762677484786994,0.05662609871534818,0.25,player2,0,1,1,0,0,1,0
131,Jeremy Chardy,Gilles Simon,0.1740301724137931,0.023706896551724144,-0.09806034482758619,0.03286637931034486,0.07866379310344829,0.19444444444444442,player1,0,1,1,0,0,1,0
132,Alexei Popyrin,Laslo Djere,0.014324836738993041,0.03338950916368233,-0.030229618706551498,0.03244154202654309,0.016220771013271545,0.15000000000000002,player2,0,1,1,0,0,1,0
133,Cristian Garin,Lloyd Harris,-0.15288978494623656,-0.001680107526881719,-0.145497311827957,-0.16364247311827962,0.15288978494623656,0.2063492063492064,player2,0,1,1,0,0,1,0
